id,en,de,es
quote-upsidecode,The work results of Mr. Paas were always of the highest quality. He distinguished himself through his analytical thinking and his strong problem-solving skills [...] Particularly noteworthy is his ability to deliver excellent results even under tight deadlines.,"Die Arbeitsergebnisse von Herrn Paas waren stets von höchster Qualität. Er zeichnete sich durch seine analytische Denkweise und seine hohe Problemlösungskompetenz aus [...] Besonders hervorzuheben ist seine Fähigkeit, auch unter hohem Termindruck sehr gute Ergebnisse zu liefern.",
quote-nadine-pesso,"I have seen him not only excel at the core elements of his job but also learn other tasks that extend well beyond the scope of his role. I am glad to have had a chance to work with and learn from him, and I can’t recommend him highly enough to any potential employer.","Er hat nicht nur in den Kernbereichen seiner Tätigkeit hervorragende Leistungen erbracht, sondern auch Aufgaben übernommen, die weit über seine Rolle hinausgehen. Ich habe gerne mit ihm zusammengearbeitet und kann ihn jedem Arbeitgeber uneingeschränkt empfehlen.",
carousel-paused,Rotation paused,Rotieren pausiert,Rotación en pausa
no-3d-portfolio,3D Portfolio not available,3D Portfolio nicht verfügbar,Portafolio 3D no disponible
no-web-gl-2,Your browser or graphics driver doesn't support Webgl2,Ihr Browser oder Ihr Gerät unterstützt WebGL2 nicht,Su navegador o dispositivo no admite WebGL2
month-01,January,Januar,enero
month-02,February,Februar,febrero
month-03,March,März,marzo
month-04,April,April,abril
month-05,May,Mai,mayo
month-06,June,Juni,junio
month-07,July,Juli,julio
month-08,August,August,agosto
month-09,September,September,septiembre
month-10,October,Oktober,octubre
month-11,November,November,noviembre
month-12,December,Dezember,diciembre
website,Website,Webseite,Página web
filter-by-technology,Filter by technology,Nach Technologie filtern,Filtrar por tecnología
showingResults,Showing,Ergebnisse,Se muestran
project,project,Projekt,proyecto
projects,projects,Projekte,proyectos
role,Position,Position,Puesto
technologies,Technologies,Technologien,Tecnologías
project-description-stellar-veins,"A real-time survival strategy game built in C++ with OpenGL. We developed the engine and scene editor completely from scratch. I focused on the enemy AI, implementing pathfinding, collision detection, and a sprite-based animation pipeline integrated with game state logic to bring enemies to life.","Ein Echtzeit-Überlebensstrategiespiel, entwickelt in C++ mit OpenGL. Wir haben die Engine und den Szeneneditor komplett von Grund auf neu entwickelt. Ich konzentrierte mich auf die Gegner-KI und implementierte Pathfinding, Kollisionserkennung sowie eine sprite-basierte Animationspipeline, die mit der Spielzustandslogik verknüpft ist, um die Gegner zum Leben zu erwecken.","Un juego de estrategia de supervivencia en tiempo real desarrollado en C++ con OpenGL. Desarrollamos el motor y el editor de escenas completamente desde cero. Me centré en la IA de los enemigos, implementando pathfinding, detección de colisiones y un pipeline de animación basado en sprites integrado con la lógica de estado del juego para dar vida a los enemigos."
project-description-sobel-simd,"Implemented a high-performance Sobel Filter for real-time edge detection, optimized using Intel's SSE (Streaming SIMD Extensions) SIMD instruction set. The Sobel Filter identifies edges in an image by detecting sharp discontinuities and significant shifts in colour. A foundational technique used in applications like feature extraction, object recognition, and face detection.","Implementierte einen hochleistungsfähigen Sobel-Filter zur Echtzeit-Kantenerkennung, optimiert mit Intels SSE (Streaming SIMD Extensions). Der Sobel-Filter erkennt Kanten in einem Bild, indem er starke Diskontinuitäten und deutliche Farbänderungen identifiziert. Eine grundlegende Technik, die in Anwendungen wie Feature-Extraktion, Objekterkennung und Gesichtserkennung eingesetzt wird.","Implementé un filtro Sobel de alto rendimiento para la detección de bordes en tiempo real, optimizado mediante el conjunto de instrucciones SSE (Streaming SIMD Extensions) de Intel. El filtro Sobel identifica bordes en una imagen detectando discontinuidades bruscas y cambios significativos de color. Es una técnica fundamental utilizada en aplicaciones como la extracción de características, el reconocimiento de objetos y la detección de rostros."
project-description-drop-off-duty,"Drop-Off Duty is a fast-paced driving and shooting game where a delivery driver fires packages from a cannon-equipped van while racing against the clock. I served as producer, tools developer (scene/level editor), and gameplay programmer, and contributed extensively to the physics and collision detection systems.","Drop-Off Duty ist ein rasantes Fahr- und Shootingspiel, in dem ein Lieferfahrer mit einem kanonenbestückten Lieferwagen Pakete verschießt, während er gegen die Zeit fährt. Ich war Producer, Tools-Entwickler (Szenen-/Level-Editor) und Gameplay-Programmierer und arbeitete außerdem intensiv an den Physik- und Kollisionssystemen.", "Drop-Off Duty es un juego de conducción y disparos de ritmo rápido en el que un repartidor dispara paquetes desde una furgoneta equipada con un cañón mientras corre contra el tiempo. Fui productor, desarrollador de herramientas (editor de escenas/niveles) y programador de gameplay, y también trabajé ampliamente en los sistemas de física y detección de colisiones."
